Barcode Plate,Barcode Well,Sample_ID
novaseq2018-green-plate-3-4,F3,OPS_013_TB-FLASH_DNA_946-0.3
novaseq2018-green-plate-3-4,F4,OPS_013_TB-FLASH_DNA_946-0.0
novaseq2018-green-plate-3-4,F5,OPS_013_TB-FLASH_DNA_924-0.0
novaseq2018-green-plate-3-4,F6,OPS_013_TB-FLASH_DNA_875-0.0
novaseq2018-green-plate-3-4,F7,OPS_013_TB-FLASH_DNA_874-0.0
novaseq2018-green-plate-3-4,F8,OPS_013_TB-FLASH_DNA_943-0.0
novaseq2018-green-plate-3-4,F9,OPS_013_TB-FLASH_DNA_919-0.0
novaseq2018-green-plate-3-4,F10,OPS_013_TB-FLASH_DNA_942-0.1
novaseq2018-green-plate-3-4,F11,OPS_013_TB-FLASH_DNA_872-0.1
novaseq2018-green-plate-3-4,F12,OPS_013_TB-FLASH_DNA_936-0.1
novaseq2018-green-plate-3-4,G1,OPS_013_TB-FLASH_DNA_870-0.0
novaseq2018-green-plate-3-4,G2,OPS_013_TB-FLASH_DNA_812-PT
novaseq2018-green-plate-3-4,G3,OPS_013_TB-FLASH_DNA_911-1.3
novaseq2018-green-plate-3-4,G11,OPS_013_PDAID-1_DNA
novaseq2018-green-plate-3-4,G12,OPS_013_PDAID-H2O_DNA
novaseq2018-green-plate-3-4,H12,OPS_013_TB-FLASH_DNA_H20
